"Who was the first President of the United States?","George Washington."
"When was the Declaration of Independence signed?","July 4, 1776."
"Who was the primary author of the Declaration of Independence?","Thomas Jefferson."
"What was the first governing document of the US before the Constitution?","The Articles of Confederation."
"In what year was the U.S. Constitution written?","1787."
"What are the first 10 amendments to the Constitution called?","The Bill of Rights."
"What does the First Amendment protect?","Freedom of speech, religion, press, assembly, and petition."
"What territory did the US buy from France in 1803?","The Louisiana Territory (Louisiana Purchase)."
"Who did Thomas Jefferson send to explore the Louisiana Territory?","Lewis and Clark."
"What war was fought between the US and Britain in the early 1800s?","The War of 1812."
"Who wrote the Star-Spangled Banner?","Francis Scott Key."
"What was the Monroe Doctrine?","A U.S. policy opposing European colonialism in the Americas (1823)."
"What was the forced relocation of Native Americans in the 1830s called?","The Trail of Tears."
"What belief drove the westward expansion of the US in the 19th century?","Manifest Destiny."
"What war occurred from 1846 to 1848 over western territories?","The Mexican-American War."
"When did the American Civil War take place?","1861 to 1865."
"Who was President during the Civil War?","Abraham Lincoln."
"What document freed the slaves in the Confederate states?","The Emancipation Proclamation (1863)."
"Which amendment abolished slavery in the US?","The 13th Amendment."
"Who assassinated Abraham Lincoln?","John Wilkes Booth."
"What period followed the Civil War for rebuilding the South?","Reconstruction."
"What invention is Alexander Graham Bell famous for?","The telephone (1876)."
"What invention is Thomas Edison most famous for?","The practical incandescent light bulb."
"What was the Transcontinental Railroad?","A railroad line linking the eastern U.S. to the western U.S., completed in 1869."
"What war occurred in 1898 resulting in the US acquiring Puerto Rico and Guam?","The Spanish-American War."
"Who was the 26th President known for trust-busting and national parks?","Theodore Roosevelt."
"What major engineering project did the US complete in Central America in 1914?","The Panama Canal."
"When did the US enter World War I?","1917."
"Who was President during World War I?","Woodrow Wilson."
"Which amendment gave women the right to vote (women's suffrage)?","The 19th Amendment (1920)."
"What was Prohibition?","The nationwide constitutional ban on the production, importation, transportation, and sale of alcoholic beverages (1920-1933)."
"What event triggered the Great Depression in 1929?","The Stock Market Crash (Black Tuesday)."
"Who was President during the Great Depression and World War II?","Franklin D. Roosevelt (FDR)."
"What was the set of programs introduced by FDR to combat the Great Depression?","The New Deal."
"What event brought the US into World War II?","The Japanese attack on Pearl Harbor on December 7, 1941."
"Who was the Supreme Commander of Allied Forces in Europe during WWII?","Dwight D. Eisenhower."
"Which President made the decision to drop atomic bombs on Japan?","Harry S. Truman."
"What international peacekeeping organization was formed after WWII?","The United Nations."
"What was the Cold War?","A state of political and military tension between the US and the Soviet Union without direct armed conflict."
"What war did the US fight in the early 1950s to stop the spread of communism?","The Korean War."
"What major movement sought equality for African Americans in the 1950s and 60s?","The Civil Rights Movement."
"Who gave the famous 'I Have a Dream' speech?","Martin Luther King Jr."
"Who was assassinated in Dallas, Texas on November 22, 1963?","President John F. Kennedy."
"What war caused major protests and divisions in the US during the 1960s and 70s?","The Vietnam War."
"Who was the first person to walk on the moon?","Neil Armstrong (Apollo 11, 1969)."
"What scandal led to the resignation of President Richard Nixon?","The Watergate scandal."
"Who was the first female Supreme Court Justice?","Sandra Day O'Connor."
"What terrorist attack occurred on September 11, 2001?","Al-Qaeda terrorists hijacked planes and crashed them into the World Trade Center, the Pentagon, and a field in Pennsylvania."
"Who was the first African American President of the United States?","Barack Obama (elected in 2008)."
"What is the capital of the United States?","Washington, D.C."
